District,Year,Population_Density
District_469,2020,4390
District_469,2021,7027
District_469,2022,16244
District_469,2023,18480
District_470,2018,15964
District_470,2019,18931
District_470,2020,5192
District_470,2021,12418
District_470,2022,4993
District_470,2023,13980
District_471,2018,12512
District_471,2019,4322
District_471,2020,15340
District_471,2021,16724
District_471,2022,9005
District_471,2023,4516
District_472,2018,171
District_472,2019,19649
District_472,2020,19880
District_472,2021,840
District_472,2022,1934
District_472,2023,3829
District_473,2018,8846
District_473,2019,7582
District_473,2020,8711
District_473,2021,3824
District_473,2022,10573
District_473,2023,8295
District_474,2018,11394
District_474,2019,9832
District_474,2020,17412
District_474,2021,4017
District_474,2022,952
District_474,2023,8858
District_475,2018,13352
District_475,2019,14855
District_475,2020,19478
District_475,2021,17581
District_475,2022,8453
District_475,2023,16966
District_476,2018,4688
District_476,2019,6025
District_476,2020,10327
District_476,2021,13601
District_476,2022,6303
District_476,2023,588
District_477,2018,15998
District_477,2019,163
District_477,2020,3188
District_477,2021,17888
District_477,2022,18757
District_477,2023,10243
District_478,2018,10271
District_478,2019,13151
District_478,2020,339
District_478,2021,15733
District_478,2022,11233
District_478,2023,16384
District_479,2018,17723
District_479,2019,9762
District_479,2020,13171
District_479,2021,492
District_479,2022,15633
District_479,2023,937
District_480,2018,5336
District_480,2019,19114
District_480,2020,653
District_480,2021,8110
District_480,2022,18444
District_480,2023,16782
District_481,2018,1844
District_481,2019,6827
District_481,2020,3050
District_481,2021,6419
District_481,2022,15390
District_481,2023,19980
District_482,2018,6066
District_482,2019,3206
District_482,2020,1155
District_482,2021,3372
District_482,2022,526
District_482,2023,7983
District_483,2018,19167
District_483,2019,17709
District_483,2020,8203
District_483,2021,4192
District_483,2022,4802
District_483,2023,785
District_484,2018,14824
District_484,2019,9482
District_484,2020,5474
District_484,2021,9770
District_484,2022,13000
District_484,2023,17428
District_485,2018,1693
District_485,2019,19249
District_485,2020,19289
District_485,2021,19615
District_485,2022,15303
District_485,2023,13602
District_486,2018,11534
District_486,2019,13139
District_486,2020,18153
District_486,2021,2995
District_486,2022,11717
District_486,2023,3269
District_487,2018,13443
District_487,2019,8848
District_487,2020,1474
District_487,2021,964
District_487,2022,116
District_487,2023,3775
District_488,2018,5932
District_488,2019,1955
District_488,2020,9177
District_488,2021,2336
District_488,2022,2068
District_488,2023,17100
District_489,2018,9164
District_489,2019,9087
District_489,2020,19294
District_489,2021,19945
District_489,2022,14972
District_489,2023,10188
District_490,2018,4293
District_490,2019,3281
District_490,2020,5240
District_490,2021,16063
District_490,2022,17311
District_490,2023,17188
District_491,2018,9788
District_491,2019,9390
District_491,2020,6770
District_491,2021,2800
District_491,2022,887
District_491,2023,19811
District_492,2018,7336
District_492,2019,4500
District_492,2020,17143
District_492,2021,2944
District_492,2022,15616
District_492,2023,7854
District_493,2018,650
District_493,2019,3096
District_493,2020,12945
District_493,2021,18641
District_493,2022,9536
District_493,2023,11001
District_494,2018,19145
District_494,2019,10872
District_494,2020,3928
District_494,2021,1746
District_494,2022,10903
District_494,2023,19660
District_495,2018,13153
District_495,2019,19145
District_495,2020,12983
District_495,2021,18779
District_495,2022,9938
District_495,2023,17148
District_496,2018,11356
District_496,2019,13471
District_496,2020,15648
District_496,2021,7150
District_496,2022,13449
District_496,2023,11766
District_497,2018,2491
District_497,2019,4601
District_497,2020,12515
District_497,2021,1494
District_497,2022,11969
District_497,2023,11776
District_498,2018,744
District_498,2019,10996
District_498,2020,17770
District_498,2021,15388
District_498,2022,12458
District_498,2023,3997
District_499,2018,10304
District_499,2019,3754
District_499,2020,17103
District_499,2021,18009
District_499,2022,358
District_499,2023,15558
District_500,2018,5507
District_500,2019,9242
District_500,2020,4485
District_500,2021,1670
District_500,2022,5189
District_500,2023,16135
District_501,2018,4257
District_501,2019,1755
District_501,2020,2564
District_501,2021,8033
District_501,2022,3780
District_501,2023,6837
District_502,2018,8339
District_502,2019,16325
District_502,2020,16218
District_502,2021,16625
District_502,2022,8229
District_502,2023,1665
District_503,2018,9698
District_503,2019,17010
District_503,2020,2846
District_503,2021,13122
District_503,2022,5781
District_503,2023,10737
District_504,2018,16864
District_504,2019,19416
District_504,2020,3003
District_504,2021,19391
District_504,2022,1904
District_504,2023,19301
District_505,2018,2704
District_505,2019,19215
District_505,2020,16492
District_505,2021,8638
District_505,2022,13290
District_505,2023,4084
District_506,2018,17871
District_506,2019,881
District_506,2020,5778
District_506,2021,3005
District_506,2022,5503
District_506,2023,12536
District_507,2018,6501
District_507,2019,8548
District_507,2020,6187
District_507,2021,4356
District_507,2022,3411
District_507,2023,10628
District_508,2018,698
District_508,2019,17369
District_508,2020,1721
District_508,2021,15006
District_508,2022,2774
District_508,2023,5061
District_509,2018,11083
District_509,2019,8386
District_509,2020,10988
District_509,2021,19596
District_509,2022,18332
District_509,2023,16765
District_510,2018,13629
District_510,2019,19619
District_510,2020,1749
District_510,2021,1331
District_510,2022,9166
District_510,2023,6645
District_511,2018,8503
District_511,2019,1309
District_511,2020,18896
District_511,2021,1546
District_511,2022,13853
District_511,2023,715
District_512,2018,19188
District_512,2019,4957
District_512,2020,17610
District_512,2021,10090
District_512,2022,6271
District_512,2023,18314
District_513,2018,2136
District_513,2019,8800
District_513,2020,15680
District_513,2021,10084
District_513,2022,9516
District_513,2023,19544
District_514,2018,2021
District_514,2019,11749
District_514,2020,2777
District_514,2021,16653
District_514,2022,10338
District_514,2023,8778
District_515,2018,1613
District_515,2019,19729
District_515,2020,12390
District_515,2021,14955
District_515,2022,6937
District_515,2023,16766
District_516,2018,8296
District_516,2019,12545
District_516,2020,2957
District_516,2021,10500
District_516,2022,8279
District_516,2023,18924
District_517,2018,13703
District_517,2019,8200
District_517,2020,7099
District_517,2021,7135
District_517,2022,3331
District_517,2023,14735
District_518,2018,19347
District_518,2019,12540
District_518,2020,19546
District_518,2021,15848
District_518,2022,711
District_518,2023,4680
District_519,2018,11111
District_519,2019,14413
District_519,2020,6747
District_519,2021,13512
District_519,2022,14091
District_519,2023,6690
District_520,2018,11894
District_520,2019,6467
District_520,2020,6757
District_520,2021,16658
District_520,2022,429
District_520,2023,19666
District_521,2018,11873
District_521,2019,17973
District_521,2020,8528
District_521,2021,17116
District_521,2022,6143
District_521,2023,6246
District_522,2018,9974
District_522,2019,1181
District_522,2020,3437
District_522,2021,16238
District_522,2022,13941
District_522,2023,563
District_523,2018,5153
District_523,2019,14493
District_523,2020,2423
District_523,2021,16903
District_523,2022,16917
District_523,2023,14610
District_524,2018,4795
District_524,2019,8963
District_524,2020,7538
District_524,2021,3832
District_524,2022,10371
District_524,2023,6552
District_525,2018,10867
District_525,2019,612
District_525,2020,11173
District_525,2021,2632
District_525,2022,8367
District_525,2023,1032
District_526,2018,15552
District_526,2019,2592
District_526,2020,8776
District_526,2021,13885
District_526,2022,7500
District_526,2023,7297
District_527,2018,14482
District_527,2019,6021
District_527,2020,15459
District_527,2021,14724
District_527,2022,18299
District_527,2023,11664
District_528,2018,8161
District_528,2019,9006
District_528,2020,12690
District_528,2021,7158
District_528,2022,17445
District_528,2023,18765
District_529,2018,3287
District_529,2019,10560
District_529,2020,3766
District_529,2021,17953
District_529,2022,17130
District_529,2023,12545
District_530,2018,982
District_530,2019,10881
District_530,2020,18352
District_530,2021,4948
District_530,2022,16441
District_530,2023,9157
District_531,2018,6018
District_531,2019,2294
District_531,2020,563
District_531,2021,7380
District_531,2022,14223
District_531,2023,16954
District_532,2018,2178
District_532,2019,16224
District_532,2020,1715
District_532,2021,17014
District_532,2022,12757
District_532,2023,12192
District_533,2018,6512
District_533,2019,6615
District_533,2020,11706
District_533,2021,1080
District_533,2022,12286
District_533,2023,11919
District_534,2018,15106
District_534,2019,1800
District_534,2020,14552
District_534,2021,15098
District_534,2022,18621
District_534,2023,12171
District_535,2018,4026
District_535,2019,5462
District_535,2020,3650
District_535,2021,16888
District_535,2022,18618
District_535,2023,4082
District_536,2018,12339
District_536,2019,11471
District_536,2020,10472
District_536,2021,13837
District_536,2022,10308
District_536,2023,8147
District_537,2018,14092
District_537,2019,3229
District_537,2020,10684
District_537,2021,7152
District_537,2022,1957
District_537,2023,15066
District_538,2018,4174
District_538,2019,3427
District_538,2020,8031
District_538,2021,13114
District_538,2022,6590
District_538,2023,4141
District_539,2018,6731
District_539,2019,6012
District_539,2020,8382
District_539,2021,1599
District_539,2022,2608
District_539,2023,17811
District_540,2018,18207
District_540,2019,19558
District_540,2020,17532
District_540,2021,3334
District_540,2022,9250
District_540,2023,14562
District_541,2018,3704
District_541,2019,6853
District_541,2020,12526
District_541,2021,15293
District_541,2022,4579
District_541,2023,10535
District_542,2018,14078
District_542,2019,6987
District_542,2020,10878
District_542,2021,6684
District_542,2022,16302
District_542,2023,2126
District_543,2018,1870
District_543,2019,9211
District_543,2020,14778
District_543,2021,16012
District_543,2022,7936
District_543,2023,3713
District_544,2018,19188
District_544,2019,19908
District_544,2020,17274
District_544,2021,18753
District_544,2022,17615
District_544,2023,6064
District_545,2018,6159
District_545,2019,5469
District_545,2020,14240
District_545,2021,1315
District_545,2022,5699
District_545,2023,10843
District_546,2018,18921
District_546,2019,16786
District_546,2020,9087
District_546,2021,12769
District_546,2022,10223
District_546,2023,14257
District_547,2018,12950
District_547,2019,11731
District_547,2020,10893
District_547,2021,10801
District_547,2022,6324
District_547,2023,5400
District_548,2018,2517
District_548,2019,19496
District_548,2020,9567
District_548,2021,3826
District_548,2022,8755
District_548,2023,12703
District_549,2018,11696
District_549,2019,9962
District_549,2020,2710
District_549,2021,6709
District_549,2022,14527
District_549,2023,8417
District_550,2018,15958
District_550,2019,15632
District_550,2020,11867
District_550,2021,5557
District_550,2022,16257
District_550,2023,649
District_551,2018,11897
District_551,2019,17378
District_551,2020,4330
District_551,2021,459
District_551,2022,8728
District_551,2023,2725
District_552,2018,6435
District_552,2019,13161
District_552,2020,5131
District_552,2021,8747
District_552,2022,17138
District_552,2023,9012
District_553,2018,4103
District_553,2019,1306
District_553,2020,9113
District_553,2021,4567
District_553,2022,10901
District_553,2023,7691
District_554,2018,16024
District_554,2019,5253
District_554,2020,9981
District_554,2021,15895
District_554,2022,19394
District_554,2023,16631
District_555,2018,6985
District_555,2019,1258
District_555,2020,6592
District_555,2021,9174
District_555,2022,6483
District_555,2023,12527
District_556,2018,14905
District_556,2019,9771
District_556,2020,7031
District_556,2021,14250
District_556,2022,14716
District_556,2023,4296
District_557,2018,19920
District_557,2019,3433
District_557,2020,1087
District_557,2021,3345
District_557,2022,16298
District_557,2023,16966
District_558,2018,9864
District_558,2019,9861
District_558,2020,13013
District_558,2021,17918
District_558,2022,16977
District_558,2023,17611
District_559,2018,19852
District_559,2019,12031
District_559,2020,9988
District_559,2021,18107
District_559,2022,7477
District_559,2023,14485
District_560,2018,8175
District_560,2019,8713
District_560,2020,8857
District_560,2021,17512
District_560,2022,3481
District_560,2023,10857
District_561,2018,15101
District_561,2019,8085
District_561,2020,9830
District_561,2021,7036
District_561,2022,19149
District_561,2023,1118
District_562,2018,10398
District_562,2019,10388
District_562,2020,8934
District_562,2021,16250
District_562,2022,6112
District_562,2023,10290
District_563,2018,19049
District_563,2019,969
District_563,2020,3551
District_563,2021,19972
District_563,2022,18867
District_563,2023,5952
District_564,2018,11883
District_564,2019,13717
District_564,2020,7718
District_564,2021,14544
District_564,2022,13235
District_564,2023,12505
District_565,2018,15254
District_565,2019,11374
District_565,2020,8778
District_565,2021,7478
District_565,2022,14325
District_565,2023,4992
District_566,2018,1566
District_566,2019,3355
District_566,2020,16625
District_566,2021,18878
District_566,2022,13315
District_566,2023,18911
District_567,2018,10724
District_567,2019,12511
District_567,2020,11161
District_567,2021,1850
District_567,2022,16252
District_567,2023,7777
District_568,2018,9167
District_568,2019,14561
District_568,2020,15307
District_568,2021,15626
District_568,2022,9687
District_568,2023,19887
District_569,2018,13822
District_569,2019,5405
District_569,2020,4906
District_569,2021,11407
District_569,2022,1771
District_569,2023,12772
District_570,2018,11324
District_570,2019,16743
District_570,2020,6117
District_570,2021,6123
District_570,2022,15718
District_570,2023,12318
District_571,2018,8025
District_571,2019,8926
District_571,2020,10832
District_571,2021,12412
District_571,2022,3647
District_571,2023,1720
District_572,2018,12477
District_572,2019,9773
District_572,2020,19604
District_572,2021,13131
District_572,2022,19225
District_572,2023,6996
District_573,2018,3876
District_573,2019,6894
District_573,2020,3748
District_573,2021,8407
District_573,2022,11556
District_573,2023,4340
District_574,2018,2318
District_574,2019,13969
District_574,2020,13098
District_574,2021,16827
District_574,2022,12148
District_574,2023,13670
District_575,2018,17532
District_575,2019,1380
District_575,2020,7724
District_575,2021,563
District_575,2022,8298
District_575,2023,4342
District_576,2018,14982
District_576,2019,2562
District_576,2020,3177
District_576,2021,13282
District_576,2022,17946
District_576,2023,19112
District_577,2018,6011
District_577,2019,4925
District_577,2020,1125
District_577,2021,13856
District_577,2022,10313
District_577,2023,16226
District_578,2018,13168
District_578,2019,14382
District_578,2020,14805
District_578,2021,1217
District_578,2022,5365
District_578,2023,17228
District_579,2018,17766
District_579,2019,17012
District_579,2020,2854
District_579,2021,13964
District_579,2022,3052
District_579,2023,6535
District_580,2018,12957
District_580,2019,5477
District_580,2020,17531
District_580,2021,15905
District_580,2022,9979
District_580,2023,1361
District_581,2018,7965
District_581,2019,4077
District_581,2020,14930
District_581,2021,8065
District_581,2022,9511
District_581,2023,17905
District_582,2018,6243
District_582,2019,16630
District_582,2020,11960
District_582,2021,4397
District_582,2022,7502
District_582,2023,2629
District_583,2018,5346
District_583,2019,17134
District_583,2020,2871
District_583,2021,12693
District_583,2022,5319
District_583,2023,2064
District_584,2018,9018
District_584,2019,8320
District_584,2020,527
District_584,2021,17213
District_584,2022,13839
District_584,2023,9217
District_585,2018,16212
District_585,2019,1913
District_585,2020,2640
District_585,2021,10527
District_585,2022,5003
District_585,2023,11065
District_586,2018,12229
District_586,2019,5533
District_586,2020,19497
District_586,2021,13902
District_586,2022,5631
District_586,2023,12367
District_587,2018,3884
District_587,2019,13485
District_587,2020,17287
District_587,2021,15951
District_587,2022,14543
District_587,2023,2637
District_588,2018,1676
District_588,2019,1792
District_588,2020,2462
District_588,2021,2973
District_588,2022,9407
District_588,2023,1738
District_589,2018,8744
District_589,2019,3769
District_589,2020,228
District_589,2021,12367
District_589,2022,3579
District_589,2023,11441
District_590,2018,2744
District_590,2019,6617
District_590,2020,16543
District_590,2021,10595
District_590,2022,12128
District_590,2023,9110
District_591,2018,1957
District_591,2019,3138
District_591,2020,15983
District_591,2021,11135
District_591,2022,3267
District_591,2023,2801
District_592,2018,11897
District_592,2019,3350
District_592,2020,12552
District_592,2021,12173
District_592,2022,5220
District_592,2023,5543
District_593,2018,18837
District_593,2019,17380
District_593,2020,7653
District_593,2021,15152
District_593,2022,6650
District_593,2023,8997
District_594,2018,5813
District_594,2019,6193
District_594,2020,9977
District_594,2021,12415
District_594,2022,1502
District_594,2023,10504
District_595,2018,13750
District_595,2019,15603
District_595,2020,19663
District_595,2021,11680
District_595,2022,13458
District_595,2023,1786
District_596,2018,10995
District_596,2019,3179
District_596,2020,14278
District_596,2021,4553
District_596,2022,2470
District_596,2023,6962
District_597,2018,11166
District_597,2019,17550
District_597,2020,19589
District_597,2021,6075
District_597,2022,10126
District_597,2023,17203
District_598,2018,11790
District_598,2019,11226
District_598,2020,18155
District_598,2021,15367
District_598,2022,3034
District_598,2023,15560
District_599,2018,208
District_599,2019,3277
District_599,2020,18674
District_599,2021,2026
District_599,2022,3025
District_599,2023,6957
District_600,2018,10329
District_600,2019,14545
District_600,2020,10093
District_600,2021,920
District_600,2022,10367
District_600,2023,1016
District_601,2018,18146
District_601,2019,6665
District_601,2020,16813
District_601,2021,13061
District_601,2022,1386
District_601,2023,12928
District_602,2018,16131
District_602,2019,3197
District_602,2020,1864
District_602,2021,6194
District_602,2022,16464
District_602,2023,10068
District_603,2018,1572
District_603,2019,14434
District_603,2020,771
District_603,2021,12530
District_603,2022,5055
District_603,2023,566
District_604,2018,13680
District_604,2019,1888
District_604,2020,7355
District_604,2021,15689
District_604,2022,15858
District_604,2023,8962
District_605,2018,5635
District_605,2019,7871
District_605,2020,9010
District_605,2021,10938
District_605,2022,13517
District_605,2023,2189
District_606,2018,11766
District_606,2019,4814
District_606,2020,2095
District_606,2021,19114
District_606,2022,5676
District_606,2023,17785
District_607,2018,10431
District_607,2019,16982
District_607,2020,11067
District_607,2021,19131
District_607,2022,5665
District_607,2023,17504
District_608,2018,14874
District_608,2019,14638
District_608,2020,3831
District_608,2021,3653
District_608,2022,15856
District_608,2023,10535
District_609,2018,6014
District_609,2019,3455
District_609,2020,4837
District_609,2021,3889
District_609,2022,9785
District_609,2023,10180
District_610,2018,2088
District_610,2019,10347
District_610,2020,2303
District_610,2021,1052
District_610,2022,4226
District_610,2023,9599
District_611,2018,10648
District_611,2019,7792
District_611,2020,5915
District_611,2021,2445
District_611,2022,4455
District_611,2023,2291
District_612,2018,12349
District_612,2019,9931
District_612,2020,18582
District_612,2021,15501
District_612,2022,15676
District_612,2023,19867
District_613,2018,9456
District_613,2019,6142
District_613,2020,10340
District_613,2021,4765
District_613,2022,7256
District_613,2023,19308
District_614,2018,16444
District_614,2019,6181
District_614,2020,18372
District_614,2021,18564
District_614,2022,7189
District_614,2023,12135
District_615,2018,438
District_615,2019,18335
District_615,2020,3933
District_615,2021,1692
District_615,2022,13885
District_615,2023,13657
District_616,2018,1170
District_616,2019,8158
District_616,2020,10496
District_616,2021,17203
District_616,2022,1143
District_616,2023,15863
District_617,2018,894
District_617,2019,17803
District_617,2020,9187
District_617,2021,4997
District_617,2022,17040
District_617,2023,3292
District_618,2018,7599
District_618,2019,11182
District_618,2020,3352
District_618,2021,11219
District_618,2022,13586
District_618,2023,11914
District_619,2018,2842
District_619,2019,2031
District_619,2020,5959
District_619,2021,16881
District_619,2022,16464
District_619,2023,4935
District_620,2018,13997
District_620,2019,16509
District_620,2020,857
District_620,2021,8180
District_620,2022,7294
District_620,2023,4729
District_621,2018,17721
District_621,2019,6125
District_621,2020,8905
District_621,2021,16338
District_621,2022,2892
District_621,2023,734
District_622,2018,16413
District_622,2019,13432
District_622,2020,5561
District_622,2021,927
District_622,2022,12399
District_622,2023,8412
District_623,2018,11904
District_623,2019,10388
District_623,2020,10610
District_623,2021,7641
District_623,2022,15947
District_623,2023,17279
District_624,2018,11093
District_624,2019,10708
District_624,2020,3568
District_624,2021,9190
District_624,2022,19867
District_624,2023,11447
District_625,2018,19590
District_625,2019,5497
District_625,2020,19229
District_625,2021,18782
District_625,2022,17779
District_625,2023,1070
District_626,2018,4532
District_626,2019,16665
District_626,2020,7031
District_626,2021,1683
District_626,2022,7034
District_626,2023,10782
District_627,2018,1997
District_627,2019,18988
District_627,2020,17516
District_627,2021,17802
District_627,2022,9456
District_627,2023,13164
District_628,2018,10128
District_628,2019,18479
District_628,2020,16641
District_628,2021,14044
District_628,2022,12296
District_628,2023,3561
District_629,2018,1861
District_629,2019,6377
District_629,2020,10910
District_629,2021,18679
District_629,2022,18644
District_629,2023,915
District_630,2018,15564
District_630,2019,15152
District_630,2020,8372
District_630,2021,9817
District_630,2022,3114
District_630,2023,6993
District_631,2018,6643
District_631,2019,14911
District_631,2020,5112
District_631,2021,7218
District_631,2022,16226
District_631,2023,8013
District_632,2018,3366
District_632,2019,13001
District_632,2020,6379
District_632,2021,2629
District_632,2022,2401
District_632,2023,16751
District_633,2018,11024
District_633,2019,6223
District_633,2020,11529
District_633,2021,16942
District_633,2022,11942
District_633,2023,16946
District_634,2018,17123
District_634,2019,18228
District_634,2020,261
District_634,2021,11723
District_634,2022,10089
District_634,2023,2279
District_635,2018,13712
District_635,2019,13318
District_635,2020,18182
District_635,2021,5154
District_635,2022,1311
District_635,2023,12020
District_636,2018,19678
District_636,2019,17892
District_636,2020,16988
District_636,2021,14954
District_636,2022,15726
District_636,2023,11239
District_637,2018,13309
District_637,2019,9358
District_637,2020,19927
District_637,2021,5987
District_637,2022,981
District_637,2023,13142
District_638,2018,17966
District_638,2019,6575
District_638,2020,16998
District_638,2021,19729
District_638,2022,12389
District_638,2023,5766
District_639,2018,1614
District_639,2019,6322
District_639,2020,16497
District_639,2021,3218
District_639,2022,2216
District_639,2023,7359
District_640,2018,2237
District_640,2019,5065
District_640,2020,11385
District_640,2021,17132
District_640,2022,18582
District_640,2023,8103
District_641,2018,19090
District_641,2019,3200
District_641,2020,17549
District_641,2021,19164
District_641,2022,4048
District_641,2023,1724
District_642,2018,18210
District_642,2019,9693
District_642,2020,5821
District_642,2021,5696
District_642,2022,10032
District_642,2023,19820
District_643,2018,16027
District_643,2019,9479
District_643,2020,8051
District_643,2021,19086
District_643,2022,9147
District_643,2023,13259
District_644,2018,14648
District_644,2019,9125
District_644,2020,5564
District_644,2021,6082
District_644,2022,18743
District_644,2023,4640
District_645,2018,5925
District_645,2019,1147
District_645,2020,2305
District_645,2021,5073
District_645,2022,3537
District_645,2023,1624
District_646,2018,9390
District_646,2019,12258
District_646,2020,9961
District_646,2021,15684
District_646,2022,15151
District_646,2023,10657
District_647,2018,11488
District_647,2019,1078
District_647,2020,17203
District_647,2021,2702
District_647,2022,12369
District_647,2023,16821
District_648,2018,16833
District_648,2019,16315
District_648,2020,6138
District_648,2021,7870
District_648,2022,19728
District_648,2023,19964
District_649,2018,12550
District_649,2019,13624
District_649,2020,11868
District_649,2021,19145
District_649,2022,14835
District_649,2023,9795
District_650,2018,6000
District_650,2019,5608
District_650,2020,18437
District_650,2021,1001
District_650,2022,2746
District_650,2023,143
District_651,2018,6951
District_651,2019,7027
District_651,2020,9440
District_651,2021,13698
District_651,2022,620
District_651,2023,2948
District_652,2018,17691
District_652,2019,9460
District_652,2020,14766
District_652,2021,8556
District_652,2022,991
District_652,2023,5367
District_653,2018,5010
District_653,2019,3064
District_653,2020,675
District_653,2021,11442
District_653,2022,8163
District_653,2023,9173
District_654,2018,4832
District_654,2019,16113
District_654,2020,16290
District_654,2021,19370
District_654,2022,11896
District_654,2023,3450
District_655,2018,18020
District_655,2019,7668
District_655,2020,13238
District_655,2021,8990
District_655,2022,3740
District_655,2023,16176
District_656,2018,18341
District_656,2019,253
District_656,2020,4770
District_656,2021,16397
District_656,2022,13749
District_656,2023,3131
District_657,2018,7202
District_657,2019,16429
District_657,2020,6098
District_657,2021,12746
District_657,2022,19324
District_657,2023,8975
District_658,2018,12782
District_658,2019,12353
District_658,2020,17206
District_658,2021,2262
District_658,2022,573
District_658,2023,12769
District_659,2018,18716
District_659,2019,8577
District_659,2020,6363
District_659,2021,704
District_659,2022,5176
District_659,2023,4659
District_660,2018,18885
District_660,2019,2131
District_660,2020,283
District_660,2021,11756
District_660,2022,18776
District_660,2023,7233
District_661,2018,2700
District_661,2019,647
District_661,2020,916
District_661,2021,10127
District_661,2022,14107
District_661,2023,18083
District_662,2018,12802
District_662,2019,16259
District_662,2020,3001
District_662,2021,12420
District_662,2022,2422
District_662,2023,19138
District_663,2018,6758
District_663,2019,218
District_663,2020,13245
District_663,2021,4993
District_663,2022,2976
District_663,2023,15861
District_664,2018,4124
District_664,2019,13151
District_664,2020,11086
District_664,2021,12544
District_664,2022,18414
District_664,2023,15560
District_665,2018,18131
District_665,2019,9501
District_665,2020,6807
District_665,2021,5658
District_665,2022,19985
District_665,2023,19058
District_666,2018,7683
District_666,2019,8731
District_666,2020,16495
District_666,2021,18716
District_666,2022,17922
District_666,2023,1066
District_667,2018,13555
District_667,2019,11475
District_667,2020,811
District_667,2021,12997
District_667,2022,12320
District_667,2023,3479
District_668,2018,4139
District_668,2019,15899
District_668,2020,13846
District_668,2021,1621
District_668,2022,273
District_668,2023,1823
District_669,2018,240
District_669,2019,8745
District_669,2020,8634
District_669,2021,9574
District_669,2022,16122
District_669,2023,11255
District_670,2018,10071
District_670,2019,10888
District_670,2020,18068
District_670,2021,18672
District_670,2022,9301
District_670,2023,19812
District_671,2018,3726
District_671,2019,16126
District_671,2020,5153
District_671,2021,9606
District_671,2022,10218
District_671,2023,1218
District_672,2018,19271
District_672,2019,7435
District_672,2020,19634
District_672,2021,3072
District_672,2022,2519
District_672,2023,7668
District_673,2018,18058
District_673,2019,4211
District_673,2020,442
District_673,2021,503
District_673,2022,16475
District_673,2023,2671
District_674,2018,18504
District_674,2019,1632
District_674,2020,17158
District_674,2021,11838
District_674,2022,13214
District_674,2023,1831
District_675,2018,10443
District_675,2019,8074
District_675,2020,1383
District_675,2021,3712
District_675,2022,15972
District_675,2023,8995
District_676,2018,16733
District_676,2019,18259
District_676,2020,7056
District_676,2021,5567
District_676,2022,1742
District_676,2023,14059
District_677,2018,7102
District_677,2019,17546
District_677,2020,11991
District_677,2021,321
District_677,2022,17803
District_677,2023,3672
District_678,2018,4984
District_678,2019,19321
District_678,2020,8156
District_678,2021,7086
District_678,2022,1845
District_678,2023,11604
District_679,2018,15160
District_679,2019,4933
District_679,2020,6680
District_679,2021,18052
District_679,2022,19774
District_679,2023,19235
District_680,2018,12507
District_680,2019,19166
District_680,2020,4848
District_680,2021,11785
District_680,2022,5832
District_680,2023,10037
District_681,2018,8873
District_681,2019,4904
District_681,2020,11572
District_681,2021,8169
District_681,2022,17920
District_681,2023,6569
District_682,2018,14063
District_682,2019,11137
District_682,2020,2203
District_682,2021,4457
District_682,2022,14917
District_682,2023,17157
District_683,2018,3573
District_683,2019,575
District_683,2020,8840
District_683,2021,5810
District_683,2022,3579
District_683,2023,17636
District_684,2018,9347
District_684,2019,183
District_684,2020,7023
District_684,2021,8502
District_684,2022,1740
District_684,2023,13984
District_685,2018,6128
District_685,2019,4710
District_685,2020,12264
District_685,2021,18278
District_685,2022,10212
District_685,2023,3845
District_686,2018,13143
District_686,2019,19759
District_686,2020,5079
District_686,2021,11570
District_686,2022,7565
District_686,2023,2486
District_687,2018,6005
District_687,2019,3300
District_687,2020,2652
District_687,2021,8379
District_687,2022,16249
District_687,2023,16467
District_688,2018,17490
District_688,2019,4536
District_688,2020,15745
District_688,2021,2638
District_688,2022,14906
District_688,2023,6485
District_689,2018,9673
District_689,2019,15564
District_689,2020,18820
District_689,2021,1267
District_689,2022,14168
District_689,2023,14070
District_690,2018,10504
District_690,2019,10940
District_690,2020,6525
District_690,2021,6678
District_690,2022,2764
District_690,2023,14280
District_691,2018,14910
District_691,2019,120
District_691,2020,6633
District_691,2021,7058
District_691,2022,10651
District_691,2023,15549
District_692,2018,9948
District_692,2019,9683
District_692,2020,12952
District_692,2021,2100
District_692,2022,5604
District_692,2023,7096
District_693,2018,2086
District_693,2019,19016
District_693,2020,8912
District_693,2021,4606
District_693,2022,13262
District_693,2023,1305
District_694,2018,16746
District_694,2019,19070
District_694,2020,12921
District_694,2021,4891
District_694,2022,11011
District_694,2023,15451
District_695,2018,16334
District_695,2019,1130
District_695,2020,198
District_695,2021,19756
District_695,2022,12049
District_695,2023,12808
District_696,2018,14004
District_696,2019,18462
District_696,2020,910
District_696,2021,19106
District_696,2022,15534
District_696,2023,17386
District_697,2018,867
District_697,2019,17737
District_697,2020,3159
District_697,2021,16709
District_697,2022,5928
District_697,2023,166
District_698,2018,411
District_698,2019,11162
District_698,2020,19046
District_698,2021,17469
District_698,2022,18735
District_698,2023,6095
District_699,2018,11186
District_699,2019,5014
District_699,2020,15859
District_699,2021,19484
District_699,2022,6375
District_699,2023,17325
District_700,2018,18612
District_700,2019,1729
District_700,2020,10820
District_700,2021,13787
District_700,2022,1588
District_700,2023,3497
District_701,2018,18184
District_701,2019,7191
District_701,2020,9671
District_701,2021,10488
District_701,2022,13144
District_701,2023,14013
District_702,2018,16257
District_702,2019,8605
District_702,2020,13328
District_702,2021,7984
District_702,2022,1283
District_702,2023,14748
District_703,2018,2779
District_703,2019,11022
District_703,2020,11692
