District,Disease,Year,No_of_Cases,Quarter
District_474,Malaria,2020,53,1
District_474,Chikungunya,2020,13,2
District_474,Dengue,2020,39,2
District_474,Yellow fever,2020,58,2
District_474,Malaria,2020,36,2
District_474,Chikungunya,2020,39,3
District_474,Dengue,2020,48,3
District_474,Yellow fever,2020,33,3
District_474,Malaria,2020,58,3
District_475,Chikungunya,2020,96,0
District_475,Dengue,2020,52,0
District_475,Yellow fever,2020,64,0
District_475,Malaria,2020,87,0
District_475,Chikungunya,2020,67,1
District_475,Dengue,2020,94,1
District_475,Yellow fever,2020,47,1
District_475,Malaria,2020,53,1
District_475,Chikungunya,2020,49,2
District_475,Dengue,2020,86,2
District_475,Yellow fever,2020,67,2
District_475,Malaria,2020,96,2
District_475,Chikungunya,2020,91,3
District_475,Dengue,2020,93,3
District_475,Yellow fever,2020,89,3
District_475,Malaria,2020,59,3
District_476,Chikungunya,2020,29,0
District_476,Dengue,2020,83,0
District_476,Yellow fever,2020,62,0
District_476,Malaria,2020,68,0
District_476,Chikungunya,2020,61,1
District_476,Dengue,2020,68,1
District_476,Yellow fever,2020,71,1
District_476,Malaria,2020,49,1
District_476,Chikungunya,2020,43,2
District_476,Dengue,2020,15,2
District_476,Yellow fever,2020,65,2
District_476,Malaria,2020,54,2
District_476,Chikungunya,2020,82,3
District_476,Dengue,2020,46,3
District_476,Yellow fever,2020,14,3
District_476,Malaria,2020,13,3
District_477,Chikungunya,2020,50,0
District_477,Dengue,2020,32,0
District_477,Yellow fever,2020,21,0
District_477,Malaria,2020,96,0
District_477,Chikungunya,2020,46,1
District_477,Dengue,2020,37,1
District_477,Yellow fever,2020,54,1
District_477,Malaria,2020,0,1
District_477,Chikungunya,2020,84,2
District_477,Dengue,2020,30,2
District_477,Yellow fever,2020,37,2
District_477,Malaria,2020,18,2
District_477,Chikungunya,2020,20,3
District_477,Dengue,2020,96,3
District_477,Yellow fever,2020,54,3
District_477,Malaria,2020,21,3
District_478,Chikungunya,2020,55,0
District_478,Dengue,2020,47,0
District_478,Yellow fever,2020,63,0
District_478,Malaria,2020,74,0
District_478,Chikungunya,2020,47,1
District_478,Dengue,2020,46,1
District_478,Yellow fever,2020,2,1
District_478,Malaria,2020,20,1
District_478,Chikungunya,2020,45,2
District_478,Dengue,2020,77,2
District_478,Yellow fever,2020,28,2
District_478,Malaria,2020,9,2
District_478,Chikungunya,2020,4,3
District_478,Dengue,2020,13,3
District_478,Yellow fever,2020,72,3
District_478,Malaria,2020,33,3
District_479,Chikungunya,2020,10,0
District_479,Dengue,2020,97,0
District_479,Yellow fever,2020,41,0
District_479,Malaria,2020,70,0
District_479,Chikungunya,2020,47,1
District_479,Dengue,2020,33,1
District_479,Yellow fever,2020,42,1
District_479,Malaria,2020,29,1
District_479,Chikungunya,2020,5,2
District_479,Dengue,2020,80,2
District_479,Yellow fever,2020,62,2
District_479,Malaria,2020,57,2
District_479,Chikungunya,2020,79,3
District_479,Dengue,2020,56,3
District_479,Yellow fever,2020,55,3
District_479,Malaria,2020,98,3
District_480,Chikungunya,2020,66,0
District_480,Dengue,2020,95,0
District_480,Yellow fever,2020,61,0
District_480,Malaria,2020,93,0
District_480,Chikungunya,2020,51,1
District_480,Dengue,2020,65,1
District_480,Yellow fever,2020,36,1
District_480,Malaria,2020,74,1
District_480,Chikungunya,2020,16,2
District_480,Dengue,2020,45,2
District_480,Yellow fever,2020,86,2
District_480,Malaria,2020,82,2
District_480,Chikungunya,2020,50,3
District_480,Dengue,2020,65,3
District_480,Yellow fever,2020,7,3
District_480,Malaria,2020,15,3
District_481,Chikungunya,2020,76,0
District_481,Dengue,2020,0,0
District_481,Yellow fever,2020,60,0
District_481,Malaria,2020,49,0
District_481,Chikungunya,2020,12,1
District_481,Dengue,2020,31,1
District_481,Yellow fever,2020,13,1
District_481,Malaria,2020,78,1
District_481,Chikungunya,2020,29,2
District_481,Dengue,2020,78,2
District_481,Yellow fever,2020,72,2
District_481,Malaria,2020,87,2
District_481,Chikungunya,2020,23,3
District_481,Dengue,2020,49,3
District_481,Yellow fever,2020,66,3
District_481,Malaria,2020,7,3
District_482,Chikungunya,2020,64,0
District_482,Dengue,2020,0,0
District_482,Yellow fever,2020,0,0
District_482,Malaria,2020,96,0
District_482,Chikungunya,2020,86,1
District_482,Dengue,2020,41,1
District_482,Yellow fever,2020,12,1
District_482,Malaria,2020,39,1
District_482,Chikungunya,2020,93,2
District_482,Dengue,2020,41,2
District_482,Yellow fever,2020,55,2
District_482,Malaria,2020,59,2
District_482,Chikungunya,2020,85,3
District_482,Dengue,2020,5,3
District_482,Yellow fever,2020,90,3
District_482,Malaria,2020,97,3
District_483,Chikungunya,2020,72,0
District_483,Dengue,2020,31,0
District_483,Yellow fever,2020,89,0
District_483,Malaria,2020,54,0
District_483,Chikungunya,2020,74,1
District_483,Dengue,2020,65,1
District_483,Yellow fever,2020,81,1
District_483,Malaria,2020,12,1
District_483,Chikungunya,2020,13,2
District_483,Dengue,2020,3,2
District_483,Yellow fever,2020,4,2
District_483,Malaria,2020,73,2
District_483,Chikungunya,2020,44,3
District_483,Dengue,2020,82,3
District_483,Yellow fever,2020,29,3
District_483,Malaria,2020,43,3
District_484,Chikungunya,2020,11,0
District_484,Dengue,2020,53,0
District_484,Yellow fever,2020,70,0
District_484,Malaria,2020,0,0
District_484,Chikungunya,2020,51,1
District_484,Dengue,2020,99,1
District_484,Yellow fever,2020,79,1
District_484,Malaria,2020,37,1
District_484,Chikungunya,2020,26,2
District_484,Dengue,2020,41,2
District_484,Yellow fever,2020,85,2
District_484,Malaria,2020,12,2
District_484,Chikungunya,2020,56,3
District_484,Dengue,2020,0,3
District_484,Yellow fever,2020,58,3
District_484,Malaria,2020,26,3
District_485,Chikungunya,2020,9,0
District_485,Dengue,2020,93,0
District_485,Yellow fever,2020,93,0
District_485,Malaria,2020,21,0
District_485,Chikungunya,2020,35,1
District_485,Dengue,2020,11,1
District_485,Yellow fever,2020,25,1
District_485,Malaria,2020,90,1
District_485,Chikungunya,2020,13,2
District_485,Dengue,2020,79,2
District_485,Yellow fever,2020,0,2
District_485,Malaria,2020,22,2
District_485,Chikungunya,2020,65,3
District_485,Dengue,2020,61,3
District_485,Yellow fever,2020,92,3
District_485,Malaria,2020,32,3
District_486,Chikungunya,2020,58,0
District_486,Dengue,2020,94,0
District_486,Yellow fever,2020,17,0
District_486,Malaria,2020,6,0
District_486,Chikungunya,2020,81,1
District_486,Dengue,2020,51,1
District_486,Yellow fever,2020,45,1
District_486,Malaria,2020,62,1
District_486,Chikungunya,2020,73,2
District_486,Dengue,2020,16,2
District_486,Yellow fever,2020,42,2
District_486,Malaria,2020,70,2
District_486,Chikungunya,2020,60,3
District_486,Dengue,2020,82,3
District_486,Yellow fever,2020,38,3
District_486,Malaria,2020,87,3
District_487,Chikungunya,2020,67,0
District_487,Dengue,2020,32,0
District_487,Yellow fever,2020,93,0
District_487,Malaria,2020,38,0
District_487,Chikungunya,2020,66,1
District_487,Dengue,2020,8,1
District_487,Yellow fever,2020,60,1
District_487,Malaria,2020,80,1
District_487,Chikungunya,2020,10,2
District_487,Dengue,2020,11,2
District_487,Yellow fever,2020,88,2
District_487,Malaria,2020,73,2
District_487,Chikungunya,2020,5,3
District_487,Dengue,2020,3,3
District_487,Yellow fever,2020,44,3
District_487,Malaria,2020,36,3
District_488,Chikungunya,2020,14,0
District_488,Dengue,2020,56,0
District_488,Yellow fever,2020,46,0
District_488,Malaria,2020,99,0
District_488,Chikungunya,2020,82,1
District_488,Dengue,2020,25,1
District_488,Yellow fever,2020,46,1
District_488,Malaria,2020,25,1
District_488,Chikungunya,2020,66,2
District_488,Dengue,2020,69,2
District_488,Yellow fever,2020,2,2
District_488,Malaria,2020,28,2
District_488,Chikungunya,2020,71,3
District_488,Dengue,2020,72,3
District_488,Yellow fever,2020,88,3
District_488,Malaria,2020,43,3
District_489,Chikungunya,2020,30,0
District_489,Dengue,2020,39,0
District_489,Yellow fever,2020,46,0
District_489,Malaria,2020,59,0
District_489,Chikungunya,2020,38,1
District_489,Dengue,2020,64,1
District_489,Yellow fever,2020,30,1
District_489,Malaria,2020,67,1
District_489,Chikungunya,2020,43,2
District_489,Dengue,2020,94,2
District_489,Yellow fever,2020,89,2
District_489,Malaria,2020,44,2
District_489,Chikungunya,2020,17,3
District_489,Dengue,2020,9,3
District_489,Yellow fever,2020,97,3
District_489,Malaria,2020,97,3
District_490,Chikungunya,2020,0,0
District_490,Dengue,2020,44,0
District_490,Yellow fever,2020,74,0
District_490,Malaria,2020,65,0
District_490,Chikungunya,2020,66,1
District_490,Dengue,2020,90,1
District_490,Yellow fever,2020,75,1
District_490,Malaria,2020,31,1
District_490,Chikungunya,2020,56,2
District_490,Dengue,2020,66,2
District_490,Yellow fever,2020,19,2
District_490,Malaria,2020,32,2
District_490,Chikungunya,2020,58,3
District_490,Dengue,2020,81,3
District_490,Yellow fever,2020,58,3
District_490,Malaria,2020,2,3
District_491,Chikungunya,2020,65,0
District_491,Dengue,2020,10,0
District_491,Yellow fever,2020,11,0
District_491,Malaria,2020,41,0
District_491,Chikungunya,2020,65,1
District_491,Dengue,2020,95,1
District_491,Yellow fever,2020,33,1
District_491,Malaria,2020,26,1
District_491,Chikungunya,2020,36,2
District_491,Dengue,2020,32,2
District_491,Yellow fever,2020,34,2
District_491,Malaria,2020,7,2
District_491,Chikungunya,2020,67,3
District_491,Dengue,2020,58,3
District_491,Yellow fever,2020,8,3
District_491,Malaria,2020,28,3
District_492,Chikungunya,2020,43,0
District_492,Dengue,2020,17,0
District_492,Yellow fever,2020,24,0
District_492,Malaria,2020,93,0
District_492,Chikungunya,2020,41,1
District_492,Dengue,2020,7,1
District_492,Yellow fever,2020,3,1
District_492,Malaria,2020,84,1
District_492,Chikungunya,2020,41,2
District_492,Dengue,2020,24,2
District_492,Yellow fever,2020,88,2
District_492,Malaria,2020,4,2
District_492,Chikungunya,2020,82,3
District_492,Dengue,2020,48,3
District_492,Yellow fever,2020,48,3
District_492,Malaria,2020,43,3
District_493,Chikungunya,2020,82,0
District_493,Dengue,2020,73,0
District_493,Yellow fever,2020,67,0
District_493,Malaria,2020,14,0
District_493,Chikungunya,2020,7,1
District_493,Dengue,2020,34,1
District_493,Yellow fever,2020,79,1
District_493,Malaria,2020,74,1
District_493,Chikungunya,2020,86,2
District_493,Dengue,2020,22,2
District_493,Yellow fever,2020,7,2
District_493,Malaria,2020,41,2
District_493,Chikungunya,2020,99,3
District_493,Dengue,2020,42,3
District_493,Yellow fever,2020,77,3
District_493,Malaria,2020,10,3
District_494,Chikungunya,2020,43,0
District_494,Dengue,2020,11,0
District_494,Yellow fever,2020,0,0
District_494,Malaria,2020,81,0
District_494,Chikungunya,2020,90,1
District_494,Dengue,2020,85,1
District_494,Yellow fever,2020,13,1
District_494,Malaria,2020,98,1
District_494,Chikungunya,2020,64,2
District_494,Dengue,2020,58,2
District_494,Yellow fever,2020,3,2
District_494,Malaria,2020,36,2
District_494,Chikungunya,2020,13,3
District_494,Dengue,2020,90,3
District_494,Yellow fever,2020,57,3
District_494,Malaria,2020,10,3
District_495,Chikungunya,2020,98,0
District_495,Dengue,2020,8,0
District_495,Yellow fever,2020,23,0
District_495,Malaria,2020,32,0
District_495,Chikungunya,2020,79,1
District_495,Dengue,2020,65,1
District_495,Yellow fever,2020,25,1
District_495,Malaria,2020,67,1
District_495,Chikungunya,2020,75,2
District_495,Dengue,2020,10,2
District_495,Yellow fever,2020,86,2
District_495,Malaria,2020,4,2
District_495,Chikungunya,2020,79,3
District_495,Dengue,2020,38,3
District_495,Yellow fever,2020,31,3
District_495,Malaria,2020,75,3
District_496,Chikungunya,2020,66,0
District_496,Dengue,2020,13,0
District_496,Yellow fever,2020,87,0
District_496,Malaria,2020,8,0
District_496,Chikungunya,2020,47,1
District_496,Dengue,2020,84,1
District_496,Yellow fever,2020,23,1
District_496,Malaria,2020,21,1
District_496,Chikungunya,2020,56,2
District_496,Dengue,2020,0,2
District_496,Yellow fever,2020,16,2
District_496,Malaria,2020,23,2
District_496,Chikungunya,2020,51,3
District_496,Dengue,2020,14,3
District_496,Yellow fever,2020,72,3
District_496,Malaria,2020,1,3
District_497,Chikungunya,2020,44,0
District_497,Dengue,2020,6,0
District_497,Yellow fever,2020,60,0
District_497,Malaria,2020,90,0
District_497,Chikungunya,2020,75,1
District_497,Dengue,2020,76,1
District_497,Yellow fever,2020,66,1
District_497,Malaria,2020,20,1
District_497,Chikungunya,2020,43,2
District_497,Dengue,2020,63,2
District_497,Yellow fever,2020,35,2
District_497,Malaria,2020,47,2
District_497,Chikungunya,2020,66,3
District_497,Dengue,2020,63,3
District_497,Yellow fever,2020,20,3
District_497,Malaria,2020,39,3
District_498,Chikungunya,2020,3,0
District_498,Dengue,2020,37,0
District_498,Yellow fever,2020,53,0
District_498,Malaria,2020,72,0
District_498,Chikungunya,2020,70,1
District_498,Dengue,2020,2,1
District_498,Yellow fever,2020,98,1
District_498,Malaria,2020,76,1
District_498,Chikungunya,2020,81,2
District_498,Dengue,2020,94,2
District_498,Yellow fever,2020,24,2
District_498,Malaria,2020,88,2
District_498,Chikungunya,2020,83,3
District_498,Dengue,2020,92,3
District_498,Yellow fever,2020,84,3
District_498,Malaria,2020,46,3
District_499,Chikungunya,2020,47,0
District_499,Dengue,2020,88,0
District_499,Yellow fever,2020,36,0
District_499,Malaria,2020,46,0
District_499,Chikungunya,2020,83,1
District_499,Dengue,2020,22,1
District_499,Yellow fever,2020,66,1
District_499,Malaria,2020,39,1
District_499,Chikungunya,2020,72,2
District_499,Dengue,2020,91,2
District_499,Yellow fever,2020,0,2
District_499,Malaria,2020,18,2
District_499,Chikungunya,2020,77,3
District_499,Dengue,2020,70,3
District_499,Yellow fever,2020,76,3
District_499,Malaria,2020,46,3
District_500,Chikungunya,2020,81,0
District_500,Dengue,2020,36,0
District_500,Yellow fever,2020,71,0
District_500,Malaria,2020,71,0
District_500,Chikungunya,2020,57,1
District_500,Dengue,2020,41,1
District_500,Yellow fever,2020,20,1
District_500,Malaria,2020,79,1
District_500,Chikungunya,2020,25,2
District_500,Dengue,2020,48,2
District_500,Yellow fever,2020,94,2
District_500,Malaria,2020,32,2
District_500,Chikungunya,2020,84,3
District_500,Dengue,2020,15,3
District_500,Yellow fever,2020,46,3
District_500,Malaria,2020,95,3
District_501,Chikungunya,2020,70,0
District_501,Dengue,2020,5,0
District_501,Yellow fever,2020,92,0
District_501,Malaria,2020,12,0
District_501,Chikungunya,2020,36,1
District_501,Dengue,2020,25,1
District_501,Yellow fever,2020,91,1
District_501,Malaria,2020,77,1
District_501,Chikungunya,2020,6,2
District_501,Dengue,2020,64,2
District_501,Yellow fever,2020,19,2
District_501,Malaria,2020,56,2
District_501,Chikungunya,2020,32,3
District_501,Dengue,2020,91,3
District_501,Yellow fever,2020,61,3
District_501,Malaria,2020,50,3
District_502,Chikungunya,2020,2,0
District_502,Dengue,2020,18,0
District_502,Yellow fever,2020,29,0
District_502,Malaria,2020,1,0
District_502,Chikungunya,2020,7,1
District_502,Dengue,2020,19,1
District_502,Yellow fever,2020,30,1
District_502,Malaria,2020,82,1
District_502,Chikungunya,2020,93,2
District_502,Dengue,2020,62,2
District_502,Yellow fever,2020,29,2
District_502,Malaria,2020,80,2
District_502,Chikungunya,2020,45,3
District_502,Dengue,2020,87,3
District_502,Yellow fever,2020,40,3
District_502,Malaria,2020,78,3
District_503,Chikungunya,2020,41,0
District_503,Dengue,2020,35,0
District_503,Yellow fever,2020,7,0
District_503,Malaria,2020,97,0
District_503,Chikungunya,2020,85,1
District_503,Dengue,2020,44,1
District_503,Yellow fever,2020,78,1
District_503,Malaria,2020,93,1
District_503,Chikungunya,2020,14,2
District_503,Dengue,2020,13,2
District_503,Yellow fever,2020,28,2
District_503,Malaria,2020,34,2
District_503,Chikungunya,2020,86,3
District_503,Dengue,2020,24,3
District_503,Yellow fever,2020,67,3
District_503,Malaria,2020,72,3
District_504,Chikungunya,2020,35,0
District_504,Dengue,2020,76,0
District_504,Yellow fever,2020,4,0
District_504,Malaria,2020,8,0
District_504,Chikungunya,2020,31,1
District_504,Dengue,2020,84,1
District_504,Yellow fever,2020,20,1
District_504,Malaria,2020,99,1
District_504,Chikungunya,2020,2,2
District_504,Dengue,2020,18,2
District_504,Yellow fever,2020,13,2
District_504,Malaria,2020,32,2
District_504,Chikungunya,2020,55,3
District_504,Dengue,2020,81,3
District_504,Yellow fever,2020,18,3
District_504,Malaria,2020,72,3
District_505,Chikungunya,2020,53,0
District_505,Dengue,2020,90,0
District_505,Yellow fever,2020,98,0
District_505,Malaria,2020,97,0
District_505,Chikungunya,2020,14,1
District_505,Dengue,2020,27,1
District_505,Yellow fever,2020,28,1
District_505,Malaria,2020,8,1
District_505,Chikungunya,2020,27,2
District_505,Dengue,2020,15,2
District_505,Yellow fever,2020,6,2
District_505,Malaria,2020,8,2
District_505,Chikungunya,2020,83,3
District_505,Dengue,2020,17,3
District_505,Yellow fever,2020,41,3
District_505,Malaria,2020,52,3
District_506,Chikungunya,2020,95,0
District_506,Dengue,2020,12,0
District_506,Yellow fever,2020,52,0
District_506,Malaria,2020,21,0
District_506,Chikungunya,2020,39,1
District_506,Dengue,2020,22,1
District_506,Yellow fever,2020,82,1
District_506,Malaria,2020,79,1
District_506,Chikungunya,2020,91,2
District_506,Dengue,2020,85,2
District_506,Yellow fever,2020,7,2
District_506,Malaria,2020,62,2
District_506,Chikungunya,2020,10,3
District_506,Dengue,2020,46,3
District_506,Yellow fever,2020,73,3
District_506,Malaria,2020,73,3
District_507,Chikungunya,2020,4,0
District_507,Dengue,2020,17,0
District_507,Yellow fever,2020,31,0
District_507,Malaria,2020,55,0
District_507,Chikungunya,2020,15,1
District_507,Dengue,2020,18,1
District_507,Yellow fever,2020,47,1
District_507,Malaria,2020,32,1
District_507,Chikungunya,2020,5,2
District_507,Dengue,2020,40,2
District_507,Yellow fever,2020,74,2
District_507,Malaria,2020,9,2
District_507,Chikungunya,2020,83,3
District_507,Dengue,2020,94,3
District_507,Yellow fever,2020,13,3
District_507,Malaria,2020,57,3
District_508,Chikungunya,2020,40,0
District_508,Dengue,2020,27,0
District_508,Yellow fever,2020,47,0
District_508,Malaria,2020,16,0
District_508,Chikungunya,2020,41,1
District_508,Dengue,2020,98,1
District_508,Yellow fever,2020,9,1
District_508,Malaria,2020,75,1
District_508,Chikungunya,2020,67,2
District_508,Dengue,2020,5,2
District_508,Yellow fever,2020,89,2
District_508,Malaria,2020,54,2
District_508,Chikungunya,2020,57,3
District_508,Dengue,2020,66,3
District_508,Yellow fever,2020,25,3
District_508,Malaria,2020,81,3
District_509,Chikungunya,2020,71,0
District_509,Dengue,2020,96,0
District_509,Yellow fever,2020,7,0
District_509,Malaria,2020,17,0
District_509,Chikungunya,2020,46,1
District_509,Dengue,2020,14,1
District_509,Yellow fever,2020,27,1
District_509,Malaria,2020,98,1
District_509,Chikungunya,2020,53,2
District_509,Dengue,2020,48,2
District_509,Yellow fever,2020,57,2
District_509,Malaria,2020,40,2
District_509,Chikungunya,2020,72,3
District_509,Dengue,2020,10,3
District_509,Yellow fever,2020,27,3
District_509,Malaria,2020,95,3
District_510,Chikungunya,2020,34,0
District_510,Dengue,2020,28,0
District_510,Yellow fever,2020,56,0
District_510,Malaria,2020,29,0
District_510,Chikungunya,2020,48,1
District_510,Dengue,2020,11,1
District_510,Yellow fever,2020,64,1
District_510,Malaria,2020,52,1
District_510,Chikungunya,2020,10,2
District_510,Dengue,2020,77,2
District_510,Yellow fever,2020,7,2
District_510,Malaria,2020,61,2
District_510,Chikungunya,2020,43,3
District_510,Dengue,2020,84,3
District_510,Yellow fever,2020,76,3
District_510,Malaria,2020,33,3
District_511,Chikungunya,2020,47,0
District_511,Dengue,2020,35,0
District_511,Yellow fever,2020,34,0
District_511,Malaria,2020,23,0
District_511,Chikungunya,2020,82,1
District_511,Dengue,2020,94,1
District_511,Yellow fever,2020,94,1
District_511,Malaria,2020,86,1
District_511,Chikungunya,2020,73,2
District_511,Dengue,2020,97,2
District_511,Yellow fever,2020,18,2
District_511,Malaria,2020,19,2
District_511,Chikungunya,2020,80,3
District_511,Dengue,2020,89,3
District_511,Yellow fever,2020,51,3
District_511,Malaria,2020,85,3
District_512,Chikungunya,2020,42,0
District_512,Dengue,2020,39,0
District_512,Yellow fever,2020,44,0
District_512,Malaria,2020,7,0
District_512,Chikungunya,2020,90,1
District_512,Dengue,2020,59,1
District_512,Yellow fever,2020,33,1
District_512,Malaria,2020,7,1
District_512,Chikungunya,2020,15,2
District_512,Dengue,2020,49,2
District_512,Yellow fever,2020,72,2
District_512,Malaria,2020,34,2
District_512,Chikungunya,2020,57,3
District_512,Dengue,2020,45,3
District_512,Yellow fever,2020,21,3
District_512,Malaria,2020,70,3
District_513,Chikungunya,2020,81,0
District_513,Dengue,2020,6,0
District_513,Yellow fever,2020,7,0
District_513,Malaria,2020,26,0
District_513,Chikungunya,2020,94,1
District_513,Dengue,2020,98,1
District_513,Yellow fever,2020,35,1
District_513,Malaria,2020,50,1
District_513,Chikungunya,2020,14,2
District_513,Dengue,2020,79,2
District_513,Yellow fever,2020,2,2
District_513,Malaria,2020,53,2
District_513,Chikungunya,2020,85,3
District_513,Dengue,2020,26,3
District_513,Yellow fever,2020,49,3
District_513,Malaria,2020,61,3
District_514,Chikungunya,2020,44,0
District_514,Dengue,2020,67,0
District_514,Yellow fever,2020,16,0
District_514,Malaria,2020,29,0
District_514,Chikungunya,2020,12,1
District_514,Dengue,2020,95,1
District_514,Yellow fever,2020,67,1
District_514,Malaria,2020,22,1
District_514,Chikungunya,2020,19,2
District_514,Dengue,2020,82,2
District_514,Yellow fever,2020,47,2
District_514,Malaria,2020,19,2
District_514,Chikungunya,2020,97,3
District_514,Dengue,2020,0,3
District_514,Yellow fever,2020,65,3
District_514,Malaria,2020,69,3
District_515,Chikungunya,2020,0,0
District_515,Dengue,2020,52,0
District_515,Yellow fever,2020,55,0
District_515,Malaria,2020,13,0
District_515,Chikungunya,2020,87,1
District_515,Dengue,2020,34,1
District_515,Yellow fever,2020,60,1
District_515,Malaria,2020,55,1
District_515,Chikungunya,2020,43,2
District_515,Dengue,2020,19,2
District_515,Yellow fever,2020,36,2
District_515,Malaria,2020,22,2
District_515,Chikungunya,2020,11,3
District_515,Dengue,2020,61,3
District_515,Yellow fever,2020,76,3
District_515,Malaria,2020,65,3
District_516,Chikungunya,2020,80,0
District_516,Dengue,2020,98,0
District_516,Yellow fever,2020,33,0
District_516,Malaria,2020,51,0
District_516,Chikungunya,2020,75,1
District_516,Dengue,2020,82,1
District_516,Yellow fever,2020,18,1
District_516,Malaria,2020,81,1
District_516,Chikungunya,2020,34,2
District_516,Dengue,2020,65,2
District_516,Yellow fever,2020,7,2
District_516,Malaria,2020,79,2
District_516,Chikungunya,2020,41,3
District_516,Dengue,2020,82,3
District_516,Yellow fever,2020,27,3
District_516,Malaria,2020,54,3
District_517,Chikungunya,2020,84,0
District_517,Dengue,2020,83,0
District_517,Yellow fever,2020,25,0
District_517,Malaria,2020,0,0
District_517,Chikungunya,2020,4,1
District_517,Dengue,2020,28,1
District_517,Yellow fever,2020,59,1
District_517,Malaria,2020,22,1
District_517,Chikungunya,2020,3,2
District_517,Dengue,2020,82,2
District_517,Yellow fever,2020,30,2
District_517,Malaria,2020,87,2
District_517,Chikungunya,2020,34,3
District_517,Dengue,2020,50,3
District_517,Yellow fever,2020,1,3
District_517,Malaria,2020,8,3
District_518,Chikungunya,2020,37,0
District_518,Dengue,2020,26,0
District_518,Yellow fever,2020,60,0
District_518,Malaria,2020,14,0
District_518,Chikungunya,2020,18,1
District_518,Dengue,2020,26,1
District_518,Yellow fever,2020,53,1
District_518,Malaria,2020,68,1
District_518,Chikungunya,2020,53,2
District_518,Dengue,2020,49,2
District_518,Yellow fever,2020,6,2
District_518,Malaria,2020,21,2
District_518,Chikungunya,2020,85,3
District_518,Dengue,2020,32,3
District_518,Yellow fever,2020,9,3
District_518,Malaria,2020,69,3
District_519,Chikungunya,2020,96,0
District_519,Dengue,2020,3,0
District_519,Yellow fever,2020,78,0
District_519,Malaria,2020,18,0
District_519,Chikungunya,2020,94,1
District_519,Dengue,2020,67,1
District_519,Yellow fever,2020,41,1
District_519,Malaria,2020,55,1
District_519,Chikungunya,2020,92,2
District_519,Dengue,2020,72,2
District_519,Yellow fever,2020,31,2
District_519,Malaria,2020,16,2
District_519,Chikungunya,2020,65,3
District_519,Dengue,2020,24,3
District_519,Yellow fever,2020,94,3
District_519,Malaria,2020,43,3
District_520,Chikungunya,2020,18,0
District_520,Dengue,2020,89,0
District_520,Yellow fever,2020,2,0
District_520,Malaria,2020,76,0
District_520,Chikungunya,2020,50,1
District_520,Dengue,2020,92,1
District_520,Yellow fever,2020,62,1
District_520,Malaria,2020,18,1
District_520,Chikungunya,2020,65,2
District_520,Dengue,2020,98,2
District_520,Yellow fever,2020,76,2
District_520,Malaria,2020,20,2
District_520,Chikungunya,2020,6,3
District_520,Dengue,2020,6,3
District_520,Yellow fever,2020,76,3
District_520,Malaria,2020,86,3
District_521,Chikungunya,2020,85,0
District_521,Dengue,2020,89,0
District_521,Yellow fever,2020,24,0
District_521,Malaria,2020,57,0
District_521,Chikungunya,2020,76,1
District_521,Dengue,2020,35,1
District_521,Yellow fever,2020,48,1
District_521,Malaria,2020,25,1
District_521,Chikungunya,2020,52,2
District_521,Dengue,2020,93,2
District_521,Yellow fever,2020,69,2
District_521,Malaria,2020,70,2
District_521,Chikungunya,2020,13,3
District_521,Dengue,2020,21,3
District_521,Yellow fever,2020,15,3
District_521,Malaria,2020,10,3
District_522,Chikungunya,2020,49,0
District_522,Dengue,2020,78,0
District_522,Yellow fever,2020,28,0
District_522,Malaria,2020,99,0
District_522,Chikungunya,2020,23,1
District_522,Dengue,2020,73,1
District_522,Yellow fever,2020,3,1
District_522,Malaria,2020,85,1
District_522,Chikungunya,2020,33,2
District_522,Dengue,2020,24,2
District_522,Yellow fever,2020,96,2
District_522,Malaria,2020,5,2
District_522,Chikungunya,2020,0,3
District_522,Dengue,2020,35,3
District_522,Yellow fever,2020,89,3
District_522,Malaria,2020,0,3
District_523,Chikungunya,2020,84,0
District_523,Dengue,2020,79,0
District_523,Yellow fever,2020,4,0
District_523,Malaria,2020,6,0
District_523,Chikungunya,2020,28,1
District_523,Dengue,2020,50,1
District_523,Yellow fever,2020,35,1
District_523,Malaria,2020,92,1
District_523,Chikungunya,2020,90,2
District_523,Dengue,2020,52,2
District_523,Yellow fever,2020,74,2
District_523,Malaria,2020,43,2
District_523,Chikungunya,2020,89,3
District_523,Dengue,2020,96,3
District_523,Yellow fever,2020,17,3
District_523,Malaria,2020,50,3
District_524,Chikungunya,2020,56,0
District_524,Dengue,2020,49,0
District_524,Yellow fever,2020,91,0
District_524,Malaria,2020,70,0
District_524,Chikungunya,2020,84,1
District_524,Dengue,2020,29,1
District_524,Yellow fever,2020,94,1
District_524,Malaria,2020,98,1
District_524,Chikungunya,2020,46,2
District_524,Dengue,2020,38,2
District_524,Yellow fever,2020,38,2
District_524,Malaria,2020,28,2
District_524,Chikungunya,2020,39,3
District_524,Dengue,2020,67,3
District_524,Yellow fever,2020,9,3
District_524,Malaria,2020,13,3
District_525,Chikungunya,2020,42,0
District_525,Dengue,2020,11,0
District_525,Yellow fever,2020,28,0
District_525,Malaria,2020,96,0
District_525,Chikungunya,2020,16,1
District_525,Dengue,2020,94,1
District_525,Yellow fever,2020,46,1
District_525,Malaria,2020,19,1
District_525,Chikungunya,2020,68,2
District_525,Dengue,2020,55,2
District_525,Yellow fever,2020,44,2
District_525,Malaria,2020,11,2
District_525,Chikungunya,2020,68,3
